tanggal,pm_duakomalima
2022-09-16,100.0
2022-09-17,103.0
2022-09-18,113.0
2022-09-19,113.0
2022-09-20,110.0
2022-09-21,112.0
2022-09-22,90.0
2022-09-23,97.0
2022-09-24,83.0
2022-09-25,94.0
2022-09-26,79.0
2022-09-27,86.0
2022-09-28,92.0
2022-09-29,100.0
2022-09-30,103.0
2022-10-01,128.0
2022-10-02,79.0
2022-10-03,76.0
2022-10-04,98.0
2022-10-05,68.0
2022-10-06,89.0
2022-10-07,66.0
2022-10-08,61.0
2022-10-09,95.0
2022-10-10,74.0
2022-10-11,126.0
2022-10-12,97.0
2022-10-13,91.0
2022-10-14,94.0
2022-10-15,78.0
2022-10-16,93.0
2022-10-17,85.0
2022-10-18,79.0
2022-10-19,92.0
2022-10-20,88.0
2022-10-21,67.0
2022-10-22,82.0
2022-10-23,66.0
2022-10-24,57.0
2022-10-25,53.0
2022-10-26,43.0
2022-10-27,66.0
2022-10-28,77.0
2022-10-29,86.0
2022-10-30,87.0
2022-10-31,78.0
2022-11-01,70.0
2022-11-02,144.0
2022-11-03,89.0
2022-11-04,95.0
2022-11-05,81.0
2022-11-06,90.0
2022-11-07,104.0
2022-11-08,101.0
2022-11-09,96.0
2022-11-10,76.0
2022-11-11,71.0
2022-11-12,61.0
2022-11-13,63.0
2022-11-14,85.0
2022-11-15,95.0
2022-11-16,80.0
2022-11-17,72.0
2022-11-18,53.0
2022-11-19,77.0
2022-11-20,51.0
2022-11-21,62.0
2022-11-22,72.0
2022-11-23,71.0
2022-11-24,66.0
2022-11-25,77.0
2022-11-26,131.0
2022-11-27,112.0
2022-11-28,83.0
2022-11-29,73.0
2022-11-30,97.0
2022-12-01,93.0
2022-12-02,94.0
2022-12-03,100.0
2022-12-04,95.0
2022-12-05,117.0
2022-12-06,107.0
2022-12-07,88.0
2022-12-08,85.0
2022-12-09,94.0
2022-12-10,72.0
2022-12-11,72.0
2022-12-12,62.0
2022-12-13,71.0
2022-12-14,71.0
2022-12-15,60.0
2022-12-16,83.0
2022-12-17,98.0
2022-12-18,96.0
2022-12-19,99.0
2022-12-20,154.0
2022-12-21,86.0
2022-12-22,65.0
2022-12-23,40.0
2022-12-24,92.0
2022-12-25,56.0
2022-12-26,62.0
2022-12-27,47.0
2022-12-28,66.0
2022-12-29,50.0
2022-12-30,64.0
2022-12-31,73.0
2023-01-01,61.0
2023-01-02,53.0
2023-01-03,43.0
2023-01-04,51.0
2023-01-05,59.0
2023-01-06,73.0
2023-01-07,66.0
2023-01-08,62.0
2023-01-09,71.0
2023-01-10,70.0
2023-01-11,81.0
2023-01-12,111.0
2023-01-13,135.0
2023-01-14,91.0
2023-01-15,73.0
2023-01-16,57.0
2023-01-17,76.0
2023-01-18,87.0
2023-01-19,79.0
2023-01-20,79.0
2023-01-21,75.0
2023-01-22,66.0
2023-01-23,53.0
2023-01-24,50.0
2023-01-25,53.0
2023-01-26,64.0
2023-01-27,75.0
2023-01-28,68.0
2023-01-29,82.0
2023-01-30,65.0
2023-01-31,90.0
2023-02-01,69.0
2023-02-02,72.0
2023-02-03,53.0
2023-02-04,74.0
2023-02-05,71.0
2023-02-06,56.0
2023-02-07,65.0
2023-02-08,61.0
2023-02-09,61.0
2023-02-10,42.0
2023-02-11,51.0
2023-02-12,42.0
2023-02-13,51.0
2023-02-14,39.0
2023-02-15,48.0
2023-02-16,53.0
2023-02-17,48.0
2023-02-18,75.0
2023-02-19,82.0
2023-02-20,56.0
2023-02-21,45.0
2023-02-22,44.0
2023-02-23,59.0
2023-02-24,49.0
2023-02-25,61.0
2023-02-26,52.0
2023-02-27,50.0
2023-02-28,63.0
2023-03-01,50.0
2023-03-02,39.0
2023-03-03,52.0
2023-03-04,60.0
2023-03-05,50.0
2023-03-06,55.0
2023-03-07,70.0
2023-03-08,87.0
2023-03-09,87.0
2023-03-10,79.0
2023-03-11,73.0
2023-03-12,109.0
2023-03-13,107.0
2023-03-14,81.0
2023-03-15,63.0
2023-03-16,107.0
2023-03-17,92.0
2023-03-18,85.0
2023-03-19,84.0
2023-03-20,91.0
2023-03-21,94.0
2023-03-22,87.0
2023-03-23,87.0
2023-03-24,87.0
2023-03-25,91.0
2023-03-26,71.0
2023-03-27,76.0
2023-03-28,85.0
2023-03-29,113.0
2023-03-30,85.0
2023-03-31,57.0
2023-04-01,50.0
2023-04-02,56.0
2023-04-03,91.0
2023-04-04,69.0
